day_count,date,OPEN,CLOSE,daily_change,daily_change_perc
1,03-01-2022,17387.15,17625.7,238.55,1.371990234
2,04-01-2022,17681.4,17805.25,123.85,0.700453584
3,05-01-2022,17820.1,17925.25,105.15,0.590064029
4,06-01-2022,17768.5,17745.9,-22.6,-0.127191378
5,07-01-2022,17797.6,17812.7,15.1,0.0848429
6,10-01-2022,17913.3,18003.3,90,0.50241999
7,11-01-2022,17997.75,18055.75,58,0.322262505
8,12-01-2022,18170.4,18212.35,41.95,0.230869986
9,13-01-2022,18257,18257.8,0.8,0.004381881
10,14-01-2022,18185,18255.75,70.75,0.389056915
11,17-01-2022,18235.65,18308.1,72.45,0.397298698
12,18-01-2022,18337.2,18113.05,-224.15,-1.222378553
13,19-01-2022,18129.2,17938.4,-190.8,-1.052445778
14,20-01-2022,17921,17757,-164,-0.915127504
15,21-01-2022,17613.7,17617.15,3.45,0.019587026
16,24-01-2022,17575.15,17149.1,-426.05,-2.424161387
17,25-01-2022,17001.55,17277.95,276.4,1.625734124
18,27-01-2022,17062,17110.15,48.15,0.282206072
19,28-01-2022,17208.3,17101.95,-106.35,-0.618015725
20,31-01-2022,17301.05,17339.85,38.8,0.224263845
21,01-02-2022,17529.45,17576.85,47.4,0.270402095
22,02-02-2022,17706.2,17780,73.8,0.416803154
23,03-02-2022,17767.75,17560.2,-207.55,-1.168127647
24,04-02-2022,17590.2,17516.3,-73.9,-0.420120294
25,07-02-2022,17456.3,17213.6,-242.7,-1.390328993
26,08-02-2022,17279.85,17266.75,-13.1,-0.075810843
27,09-02-2022,17370.1,17463.8,93.7,0.539432703
28,10-02-2022,17554.1,17605.85,51.75,0.294802924
29,11-02-2022,17451,17374.75,-76.25,-0.436937711
30,14-02-2022,17076.15,16842.8,-233.35,-1.366525827
31,15-02-2022,16933.25,17352.45,419.2,2.475602734
32,16-02-2022,17408.45,17322.2,-86.25,-0.495449049
33,17-02-2022,17396.55,17304.6,-91.95,-0.528553075
34,18-02-2022,17236.05,17276.3,40.25,0.233522182
35,21-02-2022,17192.25,17206.65,14.4,0.08375867
36,22-02-2022,16847.95,17092.2,244.25,1.449731273
37,23-02-2022,17194.5,17063.25,-131.25,-0.763325482
38,24-02-2022,16548.9,16247.95,-300.95,-1.818549873
39,25-02-2022,16515.65,16658.4,142.75,0.86433171
40,28-02-2022,16481.6,16793.9,312.3,1.894840307
41,02-03-2022,16593.1,16605.95,12.85,0.077441828
42,03-03-2022,16723.2,16498.05,-225.15,-1.346333238
43,04-03-2022,16339.45,16245.35,-94.1,-0.575906778
44,07-03-2022,15867.95,15863.15,-4.8,-0.030249654
45,08-03-2022,15747.75,16013.45,265.7,1.687225159
46,09-03-2022,16078,16345.35,267.35,1.662831198
47,10-03-2022,16757.1,16594.9,-162.2,-0.967947915
48,11-03-2022,16528.8,16630.45,101.65,0.614987174
49,14-03-2022,16633.7,16871.3,237.6,1.428425425
50,15-03-2022,16900.65,16663,-237.65,-1.406158935
51,16-03-2022,16876.65,16975.35,98.7,0.584831705
52,17-03-2022,17202.9,17287.05,84.15,0.489161711
53,21-03-2022,17329.5,17117.6,-211.9,-1.22277042
54,22-03-2022,17120.4,17315.5,195.1,1.139576178
55,23-03-2022,17405.05,17245.65,-159.4,-0.915826154
56,24-03-2022,17094.95,17222.75,127.8,0.7475892
57,25-03-2022,17289,17153,-136,-0.786627335
58,28-03-2022,17181.85,17222,40.15,0.233676816
59,29-03-2022,17297.2,17325.3,28.1,0.162454039
60,30-03-2022,17468.15,17498.25,30.1,0.172313611
61,31-03-2022,17519.2,17464.75,-54.45,-0.310801863
62,01-04-2022,17436.9,17670.45,233.55,1.339400926
63,04-04-2022,17809.1,18053.4,244.3,1.371770612
64,05-04-2022,18080.6,17957.4,-123.2,-0.681393317
65,06-04-2022,17842.75,17807.65,-35.1,-0.196718555
66,07-04-2022,17723.3,17639.55,-83.75,-0.472541795
67,08-04-2022,17698.15,17784.35,86.2,0.487056557
68,11-04-2022,17740.9,17674.95,-65.95,-0.371739878
69,12-04-2022,17584.85,17530.3,-54.55,-0.310210209
70,13-04-2022,17599.9,17475.65,-124.25,-0.70596992
71,18-04-2022,17183.45,17173.65,-9.8,-0.057031621
72,19-04-2022,17258.95,16958.65,-300.3,-1.7399668
73,20-04-2022,17045.25,17136.55,91.3,0.535633094
74,21-04-2022,17234.6,17392.6,158,0.91676047
75,22-04-2022,17242.75,17171.95,-70.8,-0.410607357
76,25-04-2022,17009.05,16953.95,-55.1,-0.323945194
77,26-04-2022,17121.3,17200.8,79.5,0.4643339
78,27-04-2022,17073.35,17038.4,-34.95,-0.204704993
79,28-04-2022,17189.5,17245.05,55.55,0.323162396
80,29-04-2022,17329.25,17102.55,-226.7,-1.308192795
81,02-05-2022,16924.45,17069.1,144.65,0.854680654
82,04-05-2022,17096.6,16677.6,-419,-2.450779687
83,05-05-2022,16854.75,16682.65,-172.1,-1.021077144
84,06-05-2022,16415.55,16411.25,-4.3,-0.026194675
85,09-05-2022,16227.7,16301.85,74.15,0.456934747
86,10-05-2022,16248.9,16240.05,-8.85,-0.054465225
87,11-05-2022,16270.05,16167.1,-102.95,-0.632757736
88,12-05-2022,16021.1,15808,-213.1,-1.330120903
89,13-05-2022,15977,15782.15,-194.85,-1.219565626
90,16-05-2022,15845.1,15842.3,-2.8,-0.017671078
91,17-05-2022,15912.6,16259.3,346.7,2.178776567
92,18-05-2022,16318.15,16240.3,-77.85,-0.477076139
93,19-05-2022,15917.4,15809.4,-108,-0.678502771
94,20-05-2022,16043.8,16266.15,222.35,1.385893616
95,23-05-2022,16290.95,16214.7,-76.25,-0.46805128
96,24-05-2022,16225.55,16125.15,-100.4,-0.618777176
97,25-05-2022,16196.35,16025.8,-170.55,-1.053015031
98,26-05-2022,16105,16170.15,65.15,0.404532754
99,27-05-2022,16296.6,16352.45,55.85,0.342709522
100,30-05-2022,16527.9,16661.4,133.5,0.807725119
101,31-05-2022,16578.45,16584.55,6.1,0.036794755
102,01-06-2022,16594.4,16522.75,-71.65,-0.431772164
103,02-06-2022,16481.65,16628,146.35,0.887957213
104,03-06-2022,16761.65,16584.3,-177.35,-1.058070059
105,06-06-2022,16530.7,16569.55,38.85,0.235017271
106,07-06-2022,16469.6,16416.35,-53.25,-0.323322971
107,08-06-2022,16474.95,16356.25,-118.7,-0.720487771
108,09-06-2022,16263.85,16478.1,214.25,1.317338761
109,10-06-2022,16283.95,16201.8,-82.15,-0.504484477
110,13-06-2022,15877.55,15774.4,-103.15,-0.649659425
111,14-06-2022,15674.25,15732.1,57.85,0.36907667
112,15-06-2022,15729.25,15692.15,-37.1,-0.2358663
113,16-06-2022,15832.25,15360.6,-471.65,-2.979045935
114,17-06-2022,15272.65,15293.5,20.85,0.136518548
115,20-06-2022,15334.5,15350.15,15.65,0.102057452
116,21-06-2022,15455.95,15638.8,182.85,1.183039541
117,22-06-2022,15545.65,15413.3,-132.35,-0.851363565
118,23-06-2022,15451.55,15556.65,105.1,0.68019066
119,24-06-2022,15657.4,15699.25,41.85,0.267285756
120,27-06-2022,15926.2,15832.05,-94.15,-0.591164245
121,28-06-2022,15757.45,15850.2,92.75,0.588610467
122,29-06-2022,15701.7,15799.1,97.4,0.620314998
123,30-06-2022,15774.5,15780.25,5.75,0.036451235
124,01-07-2022,15703.7,15752.05,48.35,0.307889224
125,04-07-2022,15710.5,15835.35,124.85,0.794691448
126,05-07-2022,15909.15,15810.85,-98.3,-0.617883419
127,06-07-2022,15818.2,15989.8,171.6,1.084826339
128,07-07-2022,16113.75,16132.9,19.15,0.118842603
129,08-07-2022,16273.65,16220.6,-53.05,-0.325987102
130,11-07-2022,16136.15,16216,79.85,0.494851622
131,12-07-2022,16126.2,16058.3,-67.9,-0.421053937
132,13-07-2022,16128.2,15966.65,-161.55,-1.001661686
133,14-07-2022,16018.85,15938.65,-80.2,-0.50066016
134,15-07-2022,16010.8,16049.2,38.4,0.239838109
135,18-07-2022,16151.4,16278.5,127.1,0.786928687
136,19-07-2022,16187.05,16340.55,153.5,0.94828891
137,20-07-2022,16562.8,16520.85,-41.95,-0.253278431
138,21-07-2022,16523.55,16605.25,81.7,0.494445806
139,22-07-2022,16661.25,16719.45,58.2,0.349313527
140,25-07-2022,16662.55,16631,-31.55,-0.189346769
141,26-07-2022,16632.9,16483.85,-149.05,-0.89611553
142,27-07-2022,16475.35,16641.8,166.45,1.010297202
143,28-07-2022,16774.85,16929.6,154.75,0.922511975
144,29-07-2022,17079.5,17158.25,78.75,0.461079071
145,01-08-2022,17243.2,17340.05,96.85,0.561670688
146,02-08-2022,17310.15,17345.45,35.3,0.203926598
147,03-08-2022,17349.25,17388.15,38.9,0.224217185
148,04-08-2022,17463.1,17382,-81.1,-0.464407808
149,05-08-2022,17423.65,17397.5,-26.15,-0.150083364
150,08-08-2022,17401.5,17525.1,123.6,0.710283596
151,10-08-2022,17566.1,17534.75,-31.35,-0.178468755
152,11-08-2022,17711.65,17659,-52.65,-0.297261972
153,12-08-2022,17659.65,17698.15,38.5,0.218011116
154,16-08-2022,17797.2,17825.25,28.05,0.157609062
155,17-08-2022,17868.15,17944.25,76.1,0.425897477
156,18-08-2022,17898.65,17956.5,57.85,0.323208734
157,19-08-2022,17966.55,17758.45,-208.1,-1.158263551
158,22-08-2022,17682.9,17490.7,-192.2,-1.086925787
159,23-08-2022,17357.35,17577.5,220.15,1.268338773
160,24-08-2022,17525.45,17604.95,79.5,0.453626012
161,25-08-2022,17679,17522.45,-156.55,-0.885513887
162,26-08-2022,17619.3,17558.9,-60.4,-0.3428059
163,29-08-2022,17188.65,17312.9,124.25,0.722860725
164,30-08-2022,17414.95,17759.3,344.35,1.977324081
165,01-09-2022,17485.7,17542.8,57.1,0.326552554
166,02-09-2022,17598.4,17539.45,-58.95,-0.334973634
167,05-09-2022,17546.45,17665.8,119.35,0.680194569
168,06-09-2022,17695.7,17655.6,-40.1,-0.226608724
169,07-09-2022,17519.4,17624.4,105,0.599335594
170,08-09-2022,17748.15,17798.75,50.6,0.285100137
171,09-09-2022,17923.35,17833.35,-90,-0.502138272
172,12-09-2022,17890.85,17936.35,45.5,0.254319946
173,13-09-2022,18044.45,18070.05,25.6,0.141871878
