day_count,date,OPEN,CLOSE,daily_change,daily_change_perc
1,01-01-2021,13996.1,14018.5,22.4,0.160044584
2,04-01-2021,14104.35,14132.9,28.55,0.202419821
3,05-01-2021,14075.15,14199.5,124.35,0.883471935
4,06-01-2021,14240.95,14146.25,-94.7,-0.664983727
5,07-01-2021,14253.75,14137.35,-116.4,-0.816627203
6,08-01-2021,14258.4,14347.25,88.85,0.623141446
7,11-01-2021,14474.05,14484.75,10.7,0.073925404
8,12-01-2021,14473.8,14563.45,89.65,0.619395045
9,13-01-2021,14639.8,14564.85,-74.95,-0.511960546
10,14-01-2021,14550.05,14595.6,45.55,0.313057343
11,15-01-2021,14594.35,14433.7,-160.65,-1.100768448
12,18-01-2021,14453.3,14281.3,-172,-1.190039645
13,19-01-2021,14371.65,14521.15,149.5,1.040242422
14,20-01-2021,14538.3,14644.7,106.4,0.731859984
15,21-01-2021,14730.95,14590.35,-140.6,-0.954453039
16,22-01-2021,14583.4,14371.9,-211.5,-1.450279084
17,25-01-2021,14477.8,14238.9,-238.9,-1.650112586
18,27-01-2021,14237.95,13967.5,-270.45,-1.899500982
19,28-01-2021,13810.4,13817.55,7.15,0.051772577
20,29-01-2021,13946.6,13634.6,-312,-2.237104384
21,01-02-2021,13758.6,14281.2,522.6,3.798351576
22,02-02-2021,14481.1,14647.85,166.75,1.151500922
23,03-02-2021,14754.9,14789.95,35.05,0.237548204
24,04-02-2021,14789.05,14895.65,106.6,0.720803568
25,05-02-2021,14952.6,14924.25,-28.35,-0.189599133
26,08-02-2021,15064.3,15115.8,51.5,0.34186786
27,09-02-2021,15164.15,15109.3,-54.85,-0.361708371
28,10-02-2021,15119.05,15106.5,-12.55,-0.083007861
29,11-02-2021,15073.25,15173.3,100.05,0.663758645
30,12-02-2021,15186.2,15163.3,-22.9,-0.150794801
31,15-02-2021,15270.3,15314.7,44.4,0.290760496
32,16-02-2021,15371.45,15313.45,-58,-0.377322894
33,17-02-2021,15279.9,15208.9,-71,-0.464662727
34,18-02-2021,15238.7,15118.95,-119.75,-0.785828187
35,19-02-2021,15074.8,14981.75,-93.05,-0.617255287
36,22-02-2021,14999.05,14675.7,-323.35,-2.155803201
37,23-02-2021,14782.25,14707.8,-74.45,-0.503644574
38,24-02-2021,14729.15,14982,252.85,1.716663894
39,25-02-2021,15079.85,15097.35,17.5,0.1160489
40,26-02-2021,14888.6,14529.15,-359.45,-2.414263262
41,01-03-2021,14702.5,14761.55,59.05,0.401632375
42,02-03-2021,14865.3,14919.1,53.8,0.361916678
43,03-03-2021,15064.4,15245.6,181.2,1.202835825
44,04-03-2021,15026.75,15080.75,54,0.359359143
45,05-03-2021,14977.95,14938.1,-39.85,-0.266057772
46,08-03-2021,15002.45,14956.2,-46.25,-0.30828298
47,09-03-2021,15049.9,15098.4,48.5,0.322261277
48,10-03-2021,15202.15,15174.8,-27.35,-0.179908763
49,12-03-2021,15321.15,15030.95,-290.2,-1.894113693
50,15-03-2021,15048.4,14929.5,-118.9,-0.790117222
51,16-03-2021,14996.1,14910.45,-85.65,-0.571148499
52,17-03-2021,14946.55,14721.3,-225.25,-1.507036741
53,18-03-2021,14855.5,14557.85,-297.65,-2.003635017
54,19-03-2021,14471.15,14744,272.85,1.885475584
55,22-03-2021,14736.3,14736.4,0.1,0.000678596
