day_count,date,OPEN,CLOSE,daily_change,daily_change_perc
1,01-01-2020,12202.15,12182.5,-19.65,-0.161037194
2,02-01-2020,12198.55,12282.2,83.65,0.685737239
3,03-01-2020,12261.1,12226.65,-34.45,-0.280969897
4,06-01-2020,12170.6,11993.05,-177.55,-1.458843442
5,07-01-2020,12079.1,12052.95,-26.15,-0.216489639
6,08-01-2020,11939.1,12025.35,86.25,0.722416263
7,09-01-2020,12153.15,12215.9,62.75,0.516327043
8,10-01-2020,12271,12256.8,-14.2,-0.11571999
9,13-01-2020,12296.7,12329.55,32.85,0.267144844
10,14-01-2020,12333.1,12362.3,29.2,0.236761236
11,15-01-2020,12349.4,12343.3,-6.1,-0.049395112
12,16-01-2020,12347.1,12355.5,8.4,0.068032169
13,17-01-2020,12328.4,12352.35,23.95,0.194266896
14,20-01-2020,12430.5,12224.55,-205.95,-1.656811874
15,21-01-2020,12195.3,12169.85,-25.45,-0.208686953
16,22-01-2020,12218.35,12106.9,-111.45,-0.912152623
17,23-01-2020,12123.75,12180.35,56.6,0.466852253
18,24-01-2020,12174.55,12248.25,73.7,0.605361184
19,27-01-2020,12197.1,12119,-78.1,-0.640316141
20,28-01-2020,12148.1,12055.8,-92.3,-0.759789597
21,29-01-2020,12114.9,12129.5,14.6,0.120512757
22,30-01-2020,12147.75,12035.8,-111.95,-0.921569838
23,31-01-2020,12100.4,11962.1,-138.3,-1.142937424
24,01-02-2020,11939,11661.85,-277.15,-2.3213837
25,03-02-2020,11627.45,11707.9,80.45,0.691897192
26,04-02-2020,11786.25,11979.65,193.4,1.640895111
27,05-02-2020,12005.85,12089.15,83.3,0.693828425
28,06-02-2020,12120,12137.95,17.95,0.14810231
29,07-02-2020,12151.15,12098.35,-52.8,-0.434526773
30,10-02-2020,12102.35,12031.5,-70.85,-0.585423492
31,11-02-2020,12108.4,12107.9,-0.5,-0.004129365
32,12-02-2020,12151,12201.2,50.2,0.413134721
33,13-02-2020,12219.55,12174.65,-44.9,-0.367443973
34,14-02-2020,12190.15,12113.45,-76.7,-0.629196523
35,17-02-2020,12131.8,12045.8,-86,-0.708880793
36,18-02-2020,12028.25,11992.5,-35.75,-0.297216968
37,19-02-2020,12090.6,12125.9,35.3,0.291962351
38,20-02-2020,12119,12080.85,-38.15,-0.31479495
39,24-02-2020,12012.55,11829.4,-183.15,-1.524655464
40,25-02-2020,11877.5,11797.9,-79.6,-0.6701747
41,26-02-2020,11738.55,11678.5,-60.05,-0.511562331
42,27-02-2020,11661.25,11633.3,-27.95,-0.23968271
43,28-02-2020,11382,11201.75,-180.25,-1.583640836
44,02-03-2020,11387.35,11132.75,-254.6,-2.235814303
45,03-03-2020,11217.55,11303.3,85.75,0.76442717
46,04-03-2020,11351.35,11251,-100.35,-0.88403582
47,05-03-2020,11306.05,11269,-37.05,-0.327700656
48,06-03-2020,10942.65,10989.45,46.8,0.427684336
49,09-03-2020,10742.05,10451.45,-290.6,-2.705256445
50,11-03-2020,10334.3,10458.4,124.1,1.200855404
51,12-03-2020,10039.95,9590.15,-449.8,-4.480101993
52,13-03-2020,9107.6,9955.2,847.6,9.306513242
53,16-03-2020,9587.8,9197.4,-390.4,-4.071841298
54,17-03-2020,9285.4,8967.05,-318.35,-3.428500657
55,18-03-2020,9088.45,8468.8,-619.65,-6.817994267
56,19-03-2020,8063.3,8263.45,200.15,2.482234321
57,20-03-2020,8284.45,8745.45,461,5.564642191
58,23-03-2020,7945.7,7610.25,-335.45,-4.221780334
59,24-03-2020,7848.3,7801.05,-47.25,-0.602041206
60,25-03-2020,7735.15,8317.85,582.7,7.533144154
61,26-03-2020,8451,8641.45,190.45,2.253579458
62,27-03-2020,8949.1,8660.25,-288.85,-3.227698875
63,30-03-2020,8385.95,8281.1,-104.85,-1.250305571
64,31-03-2020,8529.35,8597.75,68.4,0.801936842
65,01-04-2020,8584.1,8253.8,-330.3,-3.847811652
66,03-04-2020,8356.55,8083.8,-272.75,-3.263906756
67,07-04-2020,8446.3,8792.2,345.9,4.095284326
68,08-04-2020,8688.9,8748.75,59.85,0.688809861
69,09-04-2020,8973.05,9111.9,138.85,1.547411415
70,13-04-2020,9103.95,8993.85,-110.1,-1.209365166
71,15-04-2020,9196.4,8925.3,-271.1,-2.947892654
72,16-04-2020,8851.25,8992.8,141.55,1.599209151
73,17-04-2020,9323.45,9266.75,-56.7,-0.608143981
74,20-04-2020,9390.2,9261.85,-128.35,-1.366850546
75,21-04-2020,9016.95,8981.45,-35.5,-0.393702971
76,22-04-2020,9026.75,9187.3,160.55,1.778602487
77,23-04-2020,9232.35,9313.9,81.55,0.883307067
78,24-04-2020,9163.9,9154.4,-9.5,-0.103667652
79,27-04-2020,9259.7,9282.3,22.6,0.244068382
80,28-04-2020,9389.8,9380.9,-8.9,-0.094783701
81,29-04-2020,9408.6,9553.35,144.75,1.538486066
82,30-04-2020,9753.5,9859.9,106.4,1.09089045
83,04-05-2020,9533.5,9293.5,-240,-2.517438506
84,05-05-2020,9429.4,9205.6,-223.8,-2.37342779
85,06-05-2020,9226.8,9270.9,44.1,0.477955521
86,07-05-2020,9234.05,9199.05,-35,-0.379031952
87,08-05-2020,9376.95,9251.5,-125.45,-1.337855059
88,11-05-2020,9348.15,9239.2,-108.95,-1.165471243
89,12-05-2020,9168.85,9196.55,27.7,0.302109861
90,13-05-2020,9584.2,9383.55,-200.65,-2.093549801
91,14-05-2020,9213.95,9142.75,-71.2,-0.772741332
92,15-05-2020,9182.4,9136.85,-45.55,-0.496057676
93,18-05-2020,9158.3,8823.25,-335.05,-3.658430058
94,19-05-2020,8961.7,8879.1,-82.6,-0.921700124
95,20-05-2020,8889.15,9066.55,177.4,1.995691377
96,21-05-2020,9079.45,9106.25,26.8,0.295172064
97,22-05-2020,9067.9,9039.25,-28.65,-0.315949669
98,26-05-2020,9099.75,9029.05,-70.7,-0.776944422
99,27-05-2020,9082.2,9314.95,232.75,2.562705071
100,28-05-2020,9364.95,9490.1,125.15,1.336365918
101,29-05-2020,9422.2,9580.3,158.1,1.677952071
102,01-06-2020,9726.85,9826.15,99.3,1.020885487
103,02-06-2020,9880.85,9979.1,98.25,0.994347652
104,03-06-2020,10108.3,10061.55,-46.75,-0.46249122
105,04-06-2020,10054.25,10029.1,-25.15,-0.250142974
106,05-06-2020,10093.8,10142.15,48.35,0.479006915
107,08-06-2020,10326.75,10167.45,-159.3,-1.542595686
108,09-06-2020,10181.15,10046.65,-134.5,-1.321068838
109,10-06-2020,10072.6,10116.15,43.55,0.432361059
110,11-06-2020,10094.1,9902,-192.1,-1.903091905
111,12-06-2020,9544.95,9972.9,427.95,4.4835227
112,15-06-2020,9919.35,9813.7,-105.65,-1.06508995
113,16-06-2020,10014.8,9914,-100.8,-1.006510365
114,17-06-2020,9876.7,9881.15,4.45,0.045055535
115,18-06-2020,9863.25,10091.65,228.4,2.315666743
116,19-06-2020,10119,10244.4,125.4,1.239252891
117,22-06-2020,10318.75,10311.2,-7.55,-0.073167777
118,23-06-2020,10347.95,10471,123.05,1.189124416
119,24-06-2020,10529.25,10305.3,-223.95,-2.126932118
120,25-06-2020,10235.55,10288.9,53.35,0.521222602
121,26-06-2020,10378.9,10383,4.1,0.039503223
122,29-06-2020,10311.95,10312.4,0.45,0.004363869
123,30-06-2020,10382.6,10302.1,-80.5,-0.775335658
124,01-07-2020,10323.8,10430.05,106.25,1.029175304
125,02-07-2020,10493.05,10551.7,58.65,0.558941395
126,03-07-2020,10614.95,10607.35,-7.6,-0.071597134
127,06-07-2020,10723.85,10763.65,39.8,0.371135366
128,07-07-2020,10802.85,10799.65,-3.2,-0.029621813
129,08-07-2020,10818.65,10705.75,-112.9,-1.043568283
130,09-07-2020,10755.55,10813.45,57.9,0.538326724
131,10-07-2020,10764.1,10768.05,3.95,0.036696054
132,13-07-2020,10851.85,10802.7,-49.15,-0.452918166
133,14-07-2020,10750.85,10607.35,-143.5,-1.33477818
134,15-07-2020,10701,10618.2,-82.8,-0.773759462
135,16-07-2020,10706.2,10739.95,33.75,0.3152379
136,17-07-2020,10752,10901.7,149.7,1.392299107
